,,Unmarked catch,,Bismarck Brown releases (mi),,Recaptures - not lagged,,Recaptures - lagged (ri),,Total catch (unmarked+marked recaptures),,,,,"Unmarked catch (corrected, ui)",,Daily abundance estimate (ni),
Outmigration year,Date,CN,CO SY (M),CN,CO SY,CN,CO SY (R),CN,CO SY,CN,CO SY (C),Trap efficiency (ei),Trap efficiency type,Discharge (cms) smoothed,CN,CO SY,CNdaily_abundance_est1,COdaily_abundance_est1
2024,3/13/2024,2,0,2,0,0,0,0,0,2,0,0.0002,modelled,85.2,3,1,15000,5000
2024,3/14/2024,2,1,0,0,0,0,0,0,2,1,0.0012,modelled,61.1,3,2,2500,1667
2024,3/15/2024,1,0,0,0,0,0,0,0,1,0,0.0022,modelled,52.8,2,1,909,455
2024,3/16/2024,10.62,24.21,0,0,0,0,0,0,11,24,0.0015,modelled,58.4,11.62,25.21,7744,16807
2024,3/17/2024,15.64,53.24,0,0,0,0,0,0,16,53,0.0012,modelled,60.7,16.64,54.24,13870,45202
2024,3/18/2024,20.67,92.88,0,0,0,0,0,0,21,93,0.0021,modelled,53,21.67,93.88,10319,44702
2024,3/19/2024,36,151,24,146,0,0,0,0,36,151,0.0032,modelled,47.6,37,152,11562,47500
2024,3/20/2024,14,14,0,0,0,0,0,0,14,14,0.005,modelled,41.3,15,15,3000,3000
2024,3/21/2024,40,63,0,0,0,0,0,0,40,63,0.008,modelled,34.7,41,64,5125,8000
2024,3/22/2024,26.16,40.08,0,0,0,0,0,0,26,40,0.0091,modelled,33,27.16,41.08,2985,4514
2024,3/23/2024,23.57,25.13,0,0,0,0,0,0,24,25,0.0075,modelled,35.7,24.57,26.13,3275,3484
2024,3/24/2024,20.97,15.19,0,0,0,0,0,0,21,15,0.0058,modelled,39.2,21.97,16.19,3788,2791
2024,3/25/2024,18.38,8.27,0,0,0,0,0,0,18,8,0.0099,modelled,31.8,19.38,9.27,1957,936
2024,3/26/2024,3,3,3,10,0,0,0,0,3,3,0.0124,modelled,28.7,4,4,323,323
2024,3/27/2024,32,318,32,319,0,0,1,1,32,318,0.0057,observed,36,33,319,5789,55965
2024,3/28/2024,14,342,0,0,1,1,0,0,15,343,0.0073,modelled,36,15,343,2055,46986
2024,3/29/2024,23.85,257.26,0,0,0,0,0,0,24,257,0.0031,modelled,48,24.85,258.26,8016,83311
2024,3/30/2024,27.13,223.75,0,0,0,0,0,0,27,224,0.0051,modelled,41,28.13,224.75,5516,44068
2024,3/31/2024,30.42,234.79,0,0,0,0,0,0,30,235,0.0088,modelled,33.4,31.42,235.79,3570,26794
2024,4/1/2024,33.70,292.57,0,0,0,0,0,0,34,293,0.0126,modelled,28.5,34.70,293.57,2754,23299
2024,4/2/2024,36.98,408.61,0,0,0,0,0,0,37,409,0.0145,modelled,26.5,37.98,409.61,2620,28249
2024,4/3/2024,35,606,35,492,0,0,0,10,35,606,0.019,observed,28.6,36,607,1895,31947
2024,4/4/2024,52,973,0,0,0,10,0,0,52,983,0.0125,modelled,28.6,53,974,4240,77920
2024,4/5/2024,68,1724,0,0,0,0,0,0,68,1724,0.0188,modelled,22.9,69,1725,3670,91755
2024,4/6/2024,42.45,1065.67,0,0,0,0,0,0,42,1066,0.0224,modelled,20.5,43.45,1066.67,1940,47619
2024,4/7/2024,34.41,619.52,0,0,0,0,0,0,34,620,0.0232,modelled,20,35.41,620.52,1526,26746
2024,4/8/2024,26.36,296.72,0,0,0,0,0,0,26,297,0.0034,modelled,46.5,27.36,297.72,8049,87564
2024,4/9/2024,16,33,16,34,0,0,0,0,16,33,0.0001,modelled,96,17,34,170000,340000
2024,4/10/2024,0,97,0,79,0,0,0,0,0,97,0.0023,modelled,51.9,1,98,435,42609
2024,4/11/2024,24,823,0,0,0,0,0,0,24,823,0.0047,modelled,42.1,25,824,5319,175319
2024,4/12/2024,0,79,0,0,0,0,0,0,0,79,0.0037,modelled,45.3,1,80,270,21622
2024,4/13/2024,5.87,50.67,0,0,0,0,0,0,6,51,0.0073,modelled,36,6.87,51.67,942,7079
2024,4/14/2024,4.62,32.44,0,0,0,0,0,0,5,32,0.011,modelled,30.4,5.62,33.44,511,3040
2024,4/15/2024,3.37,20.66,0,0,0,0,0,0,3,21,0.0146,modelled,26.4,4.37,21.66,299,1484
2024,4/16/2024,0,13,0,15,0,0,0,0,0,13,0.0186,modelled,23.1,1,14,54,753
2024,4/17/2024,3,44,3,48,0,0,0,0,3,44,0.0224,modelled,20.5,4,45,179,2009
2024,4/17/2024,3,44,3,48,0,0,1,0,3,44,0.0196,observed,16.6,4,45,204,2296
2024,4/18/2024,2,16,0,0,0,0,0,0,2,16,0.0297,modelled,16.6,3,17,101,572
2024,4/19/2024,1,24,0,0,0,0,0,0,1,24,0.0297,modelled,16.6,2,25,67,842
2024,4/20/2024,1.34,19.73,0,0,0,0,0,0,1,20,0.0297,modelled,16.6,2.34,20.73,79,698
2024,4/21/2024,1.21,19.39,0,0,0,0,0,0,1,19,0.0297,modelled,16.6,2.21,20.39,74,687
2024,4/22/2024,1.09,22.92,0,0,0,0,0,0,1,23,0.0297,modelled,16.6,2.09,23.92,70,805
2024,4/23/2024,1,31,1,34,1,0,0,0,2,31,0.0297,modelled,16.6,2,32,67,1077
2024,4/24/2024,0,0,0,0,0,0,0,0,0,0,0.0399,modelled,12.5,1,1,25,25
2024,4/25/2024,2,137,0,0,0,0,0,0,2,137,0.0358,modelled,14,3,138,84,3855
2024,4/26/2024,1,153,0,0,0,0,0,0,1,153,0.0175,modelled,23.9,2,154,114,8800
2024,4/27/2024,0.95,132.75,0,0,0,0,0,0,1,133,0.0113,modelled,30,1.95,133.75,172,11836
2024,4/28/2024,0.84,138.92,0,0,0,0,0,0,1,139,0.0021,modelled,53.6,1.84,139.92,876,66631
2024,4/29/2024,0.73,172.76,0,0,0,0,0,0,1,173,0.0027,modelled,49.7,1.73,173.76,641,64357
2024,4/30/2024,0,241,0,242,0,0,0,0,1500,241,0.0075,modelled,35.6,1,242,133,32267
2024,5/1/2024,2,213,2,209,0,0,0,0,5,213,0.0129,modelled,28.2,3,214,233,16589
2024,5/2/2024,0,146,0,154,0,0,0,0,3,146,0.0175,modelled,23.9,1,147,57,8400
2024,5/3/2024,0,59,0,62,0,0,0,0,0,59,0.0221,modelled,20.7,1,60,45,2715
2024,5/4/2024,0.71,81.34,0,0,0,0,0,0,1,81,0.0261,modelled,18.4,1.71,82.34,65,3155
2024,5/5/2024,0.95,119.88,0,0,0,0,0,0,1,120,0.0285,modelled,17.2,1.95,120.88,68,4242
2024,5/6/2024,1.20,182.29,0,0,0,0,0,0,1,182,0.0153,modelled,25.8,2.20,183.29,144,11980
2024,5/7/2024,3,281,1,199,0,0,0,2,3,281,0.01,observed,21,4,282,400,28200
2024,5/8/2024,0,49,0,49,0,2,0,0,0,51,0.0216,modelled,21,1,50,46,2315
2024,5/9/2024,0,30,0,31,0,0,0,0,0,30,0.031,modelled,16,1,31,32,1000
2024,5/10/2024,0,10,0,0,0,0,0,0,0,10,0.0353,modelled,14.2,1,11,28,312
2024,5/11/2024,0.16,11.92,0,0,0,0,0,0,0,12,0.0391,modelled,12.8,1.16,12.92,30,331
2024,5/12/2024,0.13,16.22,0,0,0,0,0,0,0,16,0.0429,modelled,11.5,1.13,17.22,26,401
2024,5/13/2024,0.11,23.75,0,0,0,0,0,0,0,24,0.0462,modelled,10.5,1.11,24.75,24,536
2024,5/14/2024,0,36,0,34,0,0,0,0,0,36,0.0492,modelled,9.63,1,37,20,752
2024,5/15/2024,0,4,0,0,0,0,0,0,0,4,0.052,modelled,8.86,1,5,19,96
2024,5/16/2024,0,8,0,0,0,0,0,0,0,8,0.054,modelled,8.32,1,9,19,167
2024,5/17/2024,1,0,1,5,0,0,0,0,1,0,0.0555,modelled,7.96,2,1,36,18
2024,5/18/2024,0.51,0.10,0,0,0,0,0,0,1,0,0.058,modelled,7.33,1.51,1.10,26,19
2024,5/19/2024,0.49,0.22,0,0,0,0,0,0,0,0,0.0602,modelled,6.82,1.49,1.22,25,20
2024,5/20/2024,0.47,0.39,0,0,0,0,0,0,0,0,0.0624,modelled,6.32,1.47,1.39,23,22
2024,5/21/2024,0.44,0.63,0,0,0,0,0,0,0,1,0.0596,modelled,6.95,1.44,1.63,24,27
2024,5/22/2024,0,1,0,0,0,0,0,0,0,1,0.0545,modelled,8.21,1,2,18,37
2024,5/23/2024,0,0,0,0,0,0,0,0,0,0,0.0596,modelled,6.95,1,1,17,17
2024,5/24/2024,0,0,0,0,0,0,0,0,0,0,0.0625,modelled,6.3,1,1,16,16
2024,5/25/2024,2.96,16.51,0,0,0,0,0,0,3,17,0.0629,modelled,6.21,3.96,17.51,63,278
2024,5/26/2024,4.56,36.32,0,0,0,0,0,0,5,36,0.0455,modelled,10.7,5.56,37.32,122,820
2024,5/27/2024,6.16,63.35,0,0,0,0,0,0,6,63,0.0239,modelled,19.6,7.16,64.35,299,2693
2024,5/28/2024,13,103,7,88,0,0,0,10,18,103,0.1053,observed,16.8,14,104,133,988
2024,5/29/2024,6,15,6,13,0,10,0,0,8,25,0.0293,modelled,16.8,7,16,239,546
2024,5/30/2024,1,2,0,0,0,0,0,0,1,2,0.0351,modelled,14.3,2,3,57,85
