"year","date_stop","cncount_Ucn","cocount_Uco","totalcount_U","markedCN_released_Mcn","markedCO_released_Mco","total_marks_released_M","cnrecap_Rcn.x","corecap_Rco.x","total_recaps_R_lag-1","cnrecap_Rcn.y","corecap_Rco.y","total_recaps_R_lag0","CN_markunmarked_Ccn","CO_markunmarked_Cco","total_markunmark_C","discharge","trap_efficiency_e","efficiency_type","discharge_smoothed","CNdaily_abundance_est","cncount_Ucn1","CNdaily_abundance_est1","COdaily_abundance_est","cocount_Uco1","COdaily_abundance_est1"
2024,2024-03-13,2,0,2,2,0,2,0,0,0,0,0,0,2,0,2,85.2,0.0002,"modelled",85.2,10000,3,15000,0,1,5000
2024,2024-03-14,2,1,3,0,0,0,0,0,0,0,0,0,2,1,3,61.1,0.0012,"modelled",61.1,1667,3,2500,833,2,1667
2024,2024-03-15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,52.8,0.0022,"modelled",52.8,455,2,909,0,1,455
2024,2024-03-16,10.6166985221646,24.2109714576112,34.8276699797757,0,0,0,0,0,0,0,0,0,11,24,35,58.4,0.0015,"modelled",58.4,7078,11.6166985221646,7744,16141,25.2109714576112,16807
2024,2024-03-17,15.6437896655536,53.2425496117029,68.8863392772565,0,0,0,0,0,0,0,0,0,16,53,69,60.7,0.0012,"modelled",60.7,13036,16.6437896655536,13870,44369,54.2425496117029,45202
2024,2024-03-18,20.6708808089426,92.8751642275178,113.54604503646,0,0,0,0,0,0,0,0,0,21,93,114,53,0.0021,"modelled",53,9843,21.6708808089426,10319,44226,93.8751642275178,44702
2024,2024-03-19,36,151,187,24,146,170,0,0,0,0,0,0,36,151,187,47.6,0.0032,"modelled",47.6,11250,37,11562,47188,152,47500
2024,2024-03-20,14,14,28,0,0,0,0,0,0,0,0,0,14,14,28,41.3,0.005,"modelled",41.3,2800,15,3000,2800,15,3000
2024,2024-03-21,40,63,103,0,0,0,0,0,0,0,0,0,40,63,103,34.7,0.008,"modelled",34.7,5000,41,5125,7875,64,8000
2024,2024-03-22,26.1591781611358,40.0753585235518,66.2345366846876,0,0,0,0,0,0,0,0,0,26,40,66,33,0.0091,"modelled",33,2875,27.1591781611358,2985,4404,41.0753585235518,4514
2024,2024-03-23,23.5656167866033,25.1300557531415,48.6956725397448,0,0,0,0,0,0,0,0,0,24,25,49,35.7,0.0075,"modelled",35.7,3142,24.5656167866033,3275,3351,26.1300557531415,3484
2024,2024-03-24,20.9720554120709,15.1883570412722,36.1604124533431,0,0,0,0,0,0,0,0,0,21,15,36,39.2,0.0058,"modelled",39.2,3616,21.9720554120709,3788,2619,16.1883570412722,2791
2024,2024-03-25,18.3784940375384,8.27078711291262,26.649281150451,0,0,0,0,0,0,0,0,0,18,8,27,31.8,0.0099,"modelled",31.8,1856,19.3784940375384,1957,835,9.27078711291262,936
2024,2024-03-26,3,3,6,3,10,13,0,0,0,0,0,0,3,3,6,28.7,0.0124,"modelled",28.7,242,4,323,242,4,323
2024,2024-03-27,32,318,350,32,319,351,1,1,2,0,0,0,32,318,350,32.4,0.0057,"observed",36,5614,33,5789,55789,319,55965
2024,2024-03-28,14,342,356,0,0,0,0,0,0,1,1,2,15,343,358,39.6,0.0073,"modelled",36,1918,15,2055,46849,343,46986
2024,2024-03-29,23.8481150733579,257.262848962541,281.110964035899,0,0,0,0,0,0,0,0,0,24,257,281,48,0.0031,"modelled",48,7693,24.8481150733579,8016,82988,258.262848962541,83311
2024,2024-03-30,27.1321971074443,223.748880548539,250.881077655983,0,0,0,0,0,0,0,0,0,27,224,251,41,0.0051,"modelled",41,5320,28.1321971074443,5516,43872,224.748880548539,44068
2024,2024-03-31,30.4162791415307,234.785183642259,265.20146278379,0,0,0,0,0,0,0,0,0,30,235,265,33.4,0.0088,"modelled",33.4,3456,31.4162791415307,3570,26680,235.785183642259,26794
2024,2024-04-01,33.7003611756171,292.569178396427,326.269539572044,0,0,0,0,0,0,0,0,0,34,293,326,28.5,0.0126,"modelled",28.5,2675,34.7003611756171,2754,23220,293.569178396427,23299
2024,2024-04-02,36.9844432097035,408.606140943768,445.590584153471,0,0,0,0,0,0,0,0,0,37,409,446,26.5,0.0145,"modelled",26.5,2551,37.9844432097035,2620,28180,409.606140943768,28249
2024,2024-04-03,35,606,641,35,492,527,0,10,10,0,0,0,35,606,641,30.9,0.019,"observed",28.6,1842,36,1895,31895,607,31947
2024,2024-04-04,52,973,1025,0,0,0,0,0,0,0,10,10,52,983,1035,26.3,0.0125,"modelled",28.6,4160,53,4240,77840,974,77920
2024,2024-04-05,68,1724,1792,0,0,0,0,0,0,0,0,0,68,1724,1792,22.9,0.0188,"modelled",22.9,3617,69,3670,91702,1725,91755
2024,2024-04-06,42.4455620952557,1065.66718666452,1108.11274875977,0,0,0,0,0,0,0,0,0,42,1066,1108,20.5,0.0224,"modelled",20.5,1895,43.4455620952557,1940,47574,1066.66718666452,47619
2024,2024-04-07,34.4052770427434,619.517613693788,653.922890736532,0,0,0,0,0,0,0,0,0,34,620,654,20,0.0232,"modelled",20,1483,35.4052770427434,1526,26703,620.517613693788,26746
2024,2024-04-08,26.364991990231,296.71917359225,323.084165582481,0,0,0,0,0,0,0,0,0,26,297,323,46.5,0.0034,"modelled",46.5,7754,27.364991990231,8049,87270,297.71917359225,87564
2024,2024-04-09,16,33,49,16,34,50,0,0,0,0,0,0,16,33,49,96,0.0001,"modelled",96,160000,17,170000,330000,34,340000
2024,2024-04-10,0,97,97,0,79,79,0,0,0,0,0,0,0,97,97,51.9,0.0023,"modelled",51.9,0,1,435,42174,98,42609
2024,2024-04-11,24,823,847,0,0,0,0,0,0,0,0,0,24,823,847,42.1,0.0047,"modelled",42.1,5106,25,5319,175106,824,175319
2024,2024-04-12,0,79,79,0,0,0,0,0,0,0,0,0,0,79,79,45.3,0.0037,"modelled",45.3,0,1,270,21351,80,21622
2024,2024-04-13,5.87314132180507,50.6747059796215,56.5478473014266,0,0,0,0,0,0,0,0,0,6,51,57,36,0.0073,"modelled",36,805,6.87314132180507,942,6942,51.6747059796215,7079
2024,2024-04-14,4.61990128596218,32.4391692998455,37.0590705858077,0,0,0,0,0,0,0,0,0,5,32,37,30.4,0.011,"modelled",30.4,420,5.61990128596218,511,2949,33.4391692998455,3040
2024,2024-04-15,3.36666125011928,20.6625422523776,24.0292035024969,0,0,0,0,0,0,0,0,0,3,21,24,26.4,0.0146,"modelled",26.4,231,4.36666125011928,299,1415,21.6625422523776,1484
2024,2024-04-16,0,13,13,0,15,15,0,0,0,0,0,0,0,13,13,23.1,0.0186,"modelled",23.1,0,1,54,699,14,753
2024,2024-04-17,3,44,47,3,48,51,0,0,0,0,0,0,3,44,47,20.5,0.0224,"modelled",20.5,134,4,179,1964,45,2009
2024,2024-04-17,3,44,47,3,48,51,1,0,1,0,0,0,3,44,47,20.5,0.0196,"observed",16.6,153,4,204,2245,45,2296
2024,2024-04-18,2,16,18,0,0,0,0,0,0,0,0,0,2,16,18,18.3,0.0297,"modelled",16.6,67,3,101,539,17,572
2024,2024-04-19,1,24,25,0,0,0,0,0,0,0,0,0,1,24,25,16.5,0.0297,"modelled",16.6,34,2,67,808,25,842
2024,2024-04-20,1.33749596107829,19.7320798453402,21.0695758064185,0,0,0,0,0,0,0,0,0,1,20,21,15.1,0.0297,"modelled",16.6,45,2.33749596107829,79,664,20.7320798453402,698
2024,2024-04-21,1.21248049109588,19.3929816466468,20.6054621377426,0,0,0,0,0,0,0,0,0,1,19,21,16.7,0.0297,"modelled",16.6,41,2.21248049109588,74,653,20.3929816466468,687
2024,2024-04-22,1.08746502111346,22.9151881194419,24.0026531405553,0,0,0,0,0,0,0,0,0,1,23,24,15.5,0.0297,"modelled",16.6,37,2.08746502111346,70,772,23.9151881194419,805
2024,2024-04-23,1,31,32,1,34,35,0,0,0,1,0,1,2,31,33,13.6,0.0297,"modelled",16.6,34,2,67,1044,32,1077
2024,2024-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0.0399,"modelled",12.5,0,1,25,0,1,25
2024,2024-04-25,2,137,139,0,0,0,0,0,0,0,0,0,2,137,139,14,0.0358,"modelled",14,56,3,84,3827,138,3855
2024,2024-04-26,1,153,154,0,0,0,0,0,0,0,0,0,1,153,154,23.9,0.0175,"modelled",23.9,57,2,114,8743,154,8800
2024,2024-04-27,0.946515775684428,132.746650649633,133.693166425317,0,0,0,0,0,0,0,0,0,1,133,134,30,0.0113,"modelled",30,84,1.94651577568443,172,11747,133.746650649633,11836
2024,2024-04-28,0.838935913392728,138.924268523251,139.763204436644,0,0,0,0,0,0,0,0,0,1,139,140,53.6,0.0021,"modelled",53.6,399,1.83893591339273,876,66154,139.924268523251,66631
2024,2024-04-29,0.731356051101028,172.762868952625,173.494225003726,0,0,0,0,0,0,0,0,0,1,173,173,49.7,0.0027,"modelled",49.7,271,1.73135605110103,641,63986,173.762868952625,64357
2024,2024-04-30,0,241,241,0,242,242,0,0,0,0,0,0,1500,241,1741,35.6,0.0075,"modelled",35.6,0,1,133,32133,242,32267
2024,2024-05-01,2,213,215,2,209,211,0,0,0,0,0,0,5,213,218,28.2,0.0129,"modelled",28.2,155,3,233,16512,214,16589
2024,2024-05-02,0,146,146,0,154,154,0,0,0,0,0,0,3,146,149,23.9,0.0175,"modelled",23.9,0,1,57,8343,147,8400
2024,2024-05-03,0,59,59,0,62,62,0,0,0,0,0,0,0,59,59,20.7,0.0221,"modelled",20.7,0,1,45,2670,60,2715
2024,2024-05-04,0.707526889479653,81.3438256225979,82.0513525120776,0,0,0,0,0,0,0,0,0,1,81,82,18.4,0.0261,"modelled",18.4,27,1.70752688947965,65,3117,82.3438256225979,3155
2024,2024-05-05,0.952047874435658,119.883886542907,120.835934417343,0,0,0,0,0,0,0,0,0,1,120,121,17.2,0.0285,"modelled",17.2,33,1.95204787443566,68,4206,120.883886542907,4242
2024,2024-05-06,1.19656885939166,182.293830886964,183.490399746356,0,0,0,0,0,0,0,0,0,1,182,183,25.8,0.0153,"modelled",25.8,78,2.19656885939166,144,11915,183.293830886964,11980
2024,2024-05-07,3,281,284,1,199,200,0,2,2,0,0,0,3,281,284,23.4,0.01,"observed",21,300,4,400,28100,282,28200
2024,2024-05-08,0,49,49,0,49,49,0,0,0,0,2,2,0,51,51,18.6,0.0216,"modelled",21,0,1,46,2269,50,2315
2024,2024-05-09,0,30,30,0,31,31,0,0,0,0,0,0,0,30,30,16,0.031,"modelled",16,0,1,32,968,31,1000
2024,2024-05-10,0,10,10,0,0,0,0,0,0,0,0,0,0,10,10,14.2,0.0353,"modelled",14.2,0,1,28,283,11,312
2024,2024-05-11,0.155405057033452,11.9228252632396,12.0782303202731,0,0,0,0,0,0,0,0,0,0,12,12,12.8,0.0391,"modelled",12.8,4,1.15540505703345,30,305,12.9228252632396,331
2024,2024-05-12,0.133609756709316,16.2195846499227,16.3531944066321,0,0,0,0,0,0,0,0,0,0,16,16,11.5,0.0429,"modelled",11.5,3,1.13360975670932,26,378,17.2195846499227,401
2024,2024-05-13,0.11181445638518,23.74579885276,23.8576133091451,0,0,0,0,0,0,0,0,0,0,24,24,10.5,0.0462,"modelled",10.5,2,1.11181445638518,24,514,24.74579885276,536
2024,2024-05-14,0,36,36,0,34,34,0,0,0,0,0,0,0,36,36,9.63,0.0492,"modelled",9.63,0,1,20,732,37,752
2024,2024-05-15,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,8.86,0.052,"modelled",8.86,0,1,19,77,5,96
2024,2024-05-16,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8,8.32,0.054,"modelled",8.32,0,1,19,148,9,167
2024,2024-05-17,1,0,1,1,5,6,0,0,0,0,0,0,1,0,1,7.96,0.0555,"modelled",7.96,18,2,36,0,1,18
2024,2024-05-18,0.510271194027027,0.101220583975464,0.611491778002491,0,0,0,0,0,0,0,0,0,1,0,1,7.33,0.058,"modelled",7.33,9,1.51027119402703,26,2,1.10122058397546,19
2024,2024-05-19,0.487663647327335,0.222595031904223,0.710258679231558,0,0,0,0,0,0,0,0,0,0,0,1,6.82,0.0602,"modelled",6.82,8,1.48766364732734,25,4,1.22259503190422,20
2024,2024-05-20,0.465056100627643,0.388290010435378,0.853346111063021,0,0,0,0,0,0,0,0,0,0,0,1,6.32,0.0624,"modelled",6.32,7,1.46505610062764,23,6,1.38829001043538,22
2024,2024-05-21,0.442448553927951,0.631296774152785,1.07374532808074,0,0,0,0,0,0,0,0,0,0,1,1,6.95,0.0596,"modelled",6.95,7,1.44244855392795,24,11,1.63129677415278,27
2024,2024-05-22,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,8.21,0.0545,"modelled",8.21,0,1,18,18,2,37
2024,2024-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0.0596,"modelled",6.95,0,1,17,0,1,17
2024,2024-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0.0625,"modelled",6.3,0,1,16,0,1,16
