"year","date_stop","count_u","total_marks_released_M","total_recaps_r","discharge"
2024,2024-03-13,0,0,0,85.2
2024,2024-03-14,1,0,0,61.1
2024,2024-03-15,0,0,0,52.8
2024,2024-03-16,24.2109714576112,0,0,58.4
2024,2024-03-17,53.2425496117029,0,0,60.7
2024,2024-03-18,92.8751642275178,0,0,53
2024,2024-03-19,151,146,0,47.6
2024,2024-03-20,14,0,0,41.3
2024,2024-03-21,63,0,0,34.7
2024,2024-03-22,40.0753585235518,0,0,33
2024,2024-03-23,25.1300557531415,0,0,35.7
2024,2024-03-24,15.1883570412722,0,0,39.2
2024,2024-03-25,8.27078711291262,0,0,31.8
2024,2024-03-26,3,3,0,28.7
2024,2024-03-27,318,318,0,32.4
2024,2024-03-28,342,0,1,39.6
2024,2024-03-29,257.262848962541,0,0,48
2024,2024-03-30,223.748880548539,0,0,41
2024,2024-03-31,234.785183642259,0,0,33.4
2024,2024-04-01,292.569178396427,0,0,28.5
2024,2024-04-02,408.606140943768,0,0,26.5
2024,2024-04-03,606,487,0,30.9
2024,2024-04-04,973,0,10,26.3
2024,2024-04-05,1724,0,0,22.9
2024,2024-04-06,1065.66718666452,0,0,20.5
2024,2024-04-07,619.517613693788,0,0,20
2024,2024-04-08,296.71917359225,0,0,46.5
2024,2024-04-09,33,33,0,96
2024,2024-04-10,97,70,0,51.9
2024,2024-04-11,823,0,0,42.1
2024,2024-04-12,79,0,0,45.3
2024,2024-04-13,50.6747059796215,0,0,36
2024,2024-04-14,32.4391692998455,0,0,30.4
2024,2024-04-15,20.6625422523776,0,0,26.4
2024,2024-04-16,13,13,0,23.1
2024,2024-04-17,44,44,0,20.5
2024,2024-04-18,16,0,0,18.3
2024,2024-04-19,24,0,0,16.5
2024,2024-04-20,19.7320798453402,0,0,15.1
2024,2024-04-21,19.3929816466468,0,0,16.7
2024,2024-04-22,22.9151881194419,0,0,15.5
2024,2024-04-23,31,31,0,13.6
2024,2024-04-24,0,0,0,12.5
2024,2024-04-25,137,0,0,14
2024,2024-04-26,153,0,0,23.9
2024,2024-04-27,132.746650649633,0,0,30
2024,2024-04-28,138.924268523251,0,0,53.6
2024,2024-04-29,172.762868952625,0,0,49.7
2024,2024-04-30,241,237,0,35.6
2024,2024-05-01,213,209,0,28.2
2024,2024-05-02,146,141,0,23.9
2024,2024-05-03,59,59,0,20.7
2024,2024-05-04,81.3438256225979,0,0,18.4
2024,2024-05-05,119.883886542907,0,0,17.2
2024,2024-05-06,182.293830886964,0,0,25.8
2024,2024-05-07,281,190,0,23.4
2024,2024-05-08,49,41,2,18.6
2024,2024-05-09,30,29,0,16
2024,2024-05-10,10,0,0,14.2
2024,2024-05-11,11.9228252632396,0,0,12.8
2024,2024-05-12,16.2195846499227,0,0,11.5
2024,2024-05-13,23.74579885276,0,0,10.5
2024,2024-05-14,36,29,0,9.63
2024,2024-05-15,4,0,0,8.86
2024,2024-05-16,8,0,0,8.32
2024,2024-05-17,0,0,0,7.96
2024,2024-05-18,0.101220583975464,0,0,7.33
2024,2024-05-19,0.222595031904223,0,0,6.82
2024,2024-05-20,0.388290010435378,0,0,6.32
2024,2024-05-21,0.631296774152785,0,0,6.95
2024,2024-05-22,1,0,0,8.21
2024,2024-05-23,0,0,0,6.95
2024,2024-05-24,0,0,0,6.3
2024,2024-05-25,16.5147686101586,0,0,6.21
2024,2024-05-26,36.3177656291748,0,0,10.7
2024,2024-05-27,63.3519332147969,0,0,19.6
2024,2024-05-28,103,88,0,17.3
2024,2024-05-29,15,10,10,16.3
2024,2024-05-30,2,0,0,14.3
2025,2025-02-27,1,1,0,74
2025,2025-02-28,0,0,0,60.6
2025,2025-03-01,0.5,0,0,50.7
2025,2025-03-02,3,0,0,43.5
2025,2025-03-03,5.5,0,0,38.5
2025,2025-03-04,6,6,0,36.5
2025,2025-03-05,5,5,0,54.4
2025,2025-03-06,47,47,0,48.8
2025,2025-03-07,45,0,0,41
2025,2025-03-08,46,0,0,170
2025,2025-03-09,35,0,0,345
2025,2025-03-10,25.6666666666667,0,0,140
2025,2025-03-11,16,0,0,92
2025,2025-03-12,13,13,0,94.3
2025,2025-03-13,19,19,0,82.3
2025,2025-03-14,8,0,0,66.7
2025,2025-03-15,13.5,0,0,61.4
2025,2025-03-16,14,0,0,68.5
2025,2025-03-17,20,0,0,68.5
2025,2025-03-18,20,18,0,57.7
2025,2025-03-19,20,20,0,51.8
2025,2025-03-20,4,0,0,91.6
2025,2025-03-21,18,0,0,162
2025,2025-03-22,11,0,0,115
2025,2025-03-23,11,0,0,238
2025,2025-03-24,11,0,0,285
2025,2025-03-25,11,0,0,195
2025,2025-03-26,11,0,0,121
2025,2025-03-27,15,0,0,127
2025,2025-03-28,11,0,0,99.4
2025,2025-03-29,11,0,0,111
2025,2025-03-30,11,0,0,82.5
2025,2025-03-31,11,0,0,65.5
2025,2025-04-01,11,0,0,54.9
2025,2025-04-02,12,10,0,47
2025,2025-04-03,10,0,0,40.5
2025,2025-04-04,2,0,0,35.5
2025,2025-04-05,6,0,0,32
2025,2025-04-06,4.5,0,0,33.9
2025,2025-04-07,11,0,0,49.2
2025,2025-04-08,7,7,0,68.9
2025,2025-04-09,15,15,0,89.7
2025,2025-04-10,5,5,0,64.1
2025,2025-04-11,10,0,0,69.9
2025,2025-04-12,7.5,0,0,52.5
2025,2025-04-13,14,0,0,42.3
2025,2025-04-14,9.5,0,0,35.7
2025,2025-04-15,18,18,0,31.2
2025,2025-04-16,1,1,0,27.7
2025,2025-04-17,14,13,0,24.4
2025,2025-04-18,7,0,0,21.5
2025,2025-04-19,10.5,0,0,19.5
2025,2025-04-20,10.5,0,0,17.6
2025,2025-04-21,234.5,0,0,16
2025,2025-04-22,236.5,0,0,14.4
2025,2025-04-23,236.5,0,0,13
2025,2025-04-24,462,445,0,12
2025,2025-04-25,11,0,0,11.3
2025,2025-04-26,160.666666666667,0,0,10.7
2025,2025-04-27,21.3333333333333,0,0,10.1
2025,2025-04-28,9,9,0,9.54
2025,2025-04-29,44,43,0,9.84
2025,2025-04-30,20,20,0,9.18
2025,2025-05-01,95.6666666666667,104,0,8.43
2025,2025-05-02,223,0,0,8.15
2025,2025-05-03,139,0,0,8.08
2025,2025-05-04,101.333333333333,0,0,7.43
2025,2025-05-05,55,55,0,6.88
2025,2025-05-06,26,24,0,6.41
2025,2025-05-07,13,0,0,6.09
2025,2025-05-08,3,3,0,5.75
2025,2025-05-09,2,2,0,5.38
2025,2025-05-10,2.5,0,0,5.07
2025,2025-05-11,7.5,0,0,4.91
2025,2025-05-12,14.5,0,0,4.7
2025,2025-05-13,13,13,0,4.45
2025,2025-05-14,16,15,0,4.26
2025,2025-05-15,52.6666666666667,0,0,4.17
2025,2025-05-16,129,0,5,4.75
2025,2025-05-17,51,0,0,8.25
2025,2025-05-18,68.5,0,0,7.79
2025,2025-05-19,5.5,0,0,11.1
2025,2025-05-20,8,7,0,39.5
2025,2025-05-21,3,3,0,25.8
2025,2025-05-22,4,4,0,16.9
2025,2025-05-23,3.5,0,0,12.9
2025,2025-05-24,5.5,0,0,10.7
2025,2025-05-25,4.5,0,0,9.33
2025,2025-05-26,7,7,0,9.22
2025,2025-05-27,2,0,0,8.77
2025,2025-05-28,13,13,0,7.66
2025,2025-05-29,2,3,1,7.98
2025,2025-05-30,3,0,0,7.98
